Average_pixel_value	Deviation	Skew	Integrated_density	Kurtosis	Area_fraction	Raw_int_density 	Objects detected
710.528	6303.589	9.549	186260613	91.88	1.835	186260613	57
1370.985	7748.668	6.733	359395536	47.342	5.893	359395536	85
2217.726	9139.694	5.092	581363439	27.408	10.888	581363439	146
621.241	6099.46	10.122	162854475	102.434	1.12	162854475	248
1209.552	7139.057	7.5	317076679	59.401	6.858	317076679	1.31E+02
770.109	6404.268	9.195	201879559	86.091	2.02	201879559	168
1765.301	8265.172	6.043	462762988	38.606	11.797	462762988	100
1632.653	7799.109	6.352	427990225	43.533	11.074	427990225	104
520.992	5819.958	11.081	136574940	120.797	0.795	136574940	281
1181.029	7072.765	7.665	309599768	61.916	6.964	309599768	136
778.201	6266.912	9.413	204000683	90.916	2.61	204000683	25
1253.215	7348.773	7.267	328522807	55.406	7.22	328522807	137
1897.335	8352.85	5.754	497375044	35.485	10.795	497375044	85
2012.982	8503.409	5.51	527691134	32.744	13.816	527691134	77
1566.612	8013.711	6.339	410678048	42.282	8.391	410678048	64
1054.167	7374.839	7.613	276343591	58.611	3.435	276343591	3
1392.8	7690.531	6.759	365114034	48.023	6.875	365114034	196
1558.927	7935.914	6.361	408663379	42.856	8.32	408663379	237
1389.778	7599.984	6.821	364321881	49.154	7.42	364321881	248
1632.653	7799.109	6.352	427990225	43.533	11.074	427990225	104
2217.757	8555.143	5.346	581371649	31.4	17.538	581371649	86
2080.953	8480.543	5.551	545509392	33.259	18.105	545509392	75
1589.87	8040.934	6.253	416774805	41.322	8.119	416774805	1.32E+02
2179.914	8872.8	5.21	571451437	29.078	12.545	571451437	115
1105.27	7199.825	7.621	289739779	60.149	4.232	289739779	281
940.221	6802.244	8.339	246473240	71.541	3.281	246473240	172
1020.955	6961.524	7.997	267637230	66.132	4.029	267637230	108
